transaction_id,order_amount,settlement_amount,fee,transaction_date,settlement_date,status,exception_type
TXN001,750,735.0,15.0,2026-08-01,2026-08-04,Matched,None
TXN002,1500,1470.0,30.0,2026-08-05,2026-08-08,Matched,None
TXN003,7500,7350.0,150.0,2026-08-03,2026-08-06,Matched,None
TXN004,500,490.0,10.0,2026-08-03,2026-08-04,Matched,None
TXN005,10000,9800.0,200.0,2026-08-01,2026-08-04,Matched,None
TXN006,7500,7350.0,150.0,2026-08-14,2026-08-15,Matched,None
TXN007,2000,1960.0,40.0,2026-08-26,2026-08-27,Matched,None
TXN008,1000,980.0,20.0,2026-08-23,2026-08-25,Matched,None
TXN009,1000,980.0,20.0,2026-08-07,2026-08-09,Matched,None
TXN010,3000,2940.0,60.0,2026-08-04,2026-08-14,Exception,Date Mismatch
TXN011,2000,1960.0,40.0,2026-08-26,2026-08-27,Matched,None
TXN012,7500,7350.0,150.0,2026-08-04,2026-08-06,Matched,None
TXN013,2000,1960.0,40.0,2026-08-27,2026-08-30,Matched,None
TXN014,2500,2450.0,50.0,2026-08-19,2026-08-20,Matched,None
TXN015,500,490.0,10.0,2026-08-22,2026-08-23,Matched,None
TXN016,750,650,15.0,2026-08-28,2026-08-29,Exception,Fee Mismatch
TXN017,5000,4900.0,100.0,2026-08-21,2026-08-23,Matched,None
TXN018,2500,2450.0,50.0,2026-08-07,2026-08-10,Matched,None
TXN019,750,735.0,15.0,2026-08-20,2026-08-23,Matched,None
TXN020,1500,1470.0,30.0,2026-08-06,2026-08-08,Matched,None
TXN021,7500,7350.0,150.0,2026-08-08,2026-08-11,Matched,None
TXN022,500,400,10.0,2026-08-08,2026-08-09,Exception,Fee Mismatch
TXN023,750,735.0,15.0,2026-08-07,2026-08-10,Exception,Duplicate Transaction
TXN024,1500,1470.0,30.0,2026-08-21,2026-08-23,Matched,None
TXN025,5000,4900.0,100.0,2026-08-05,2026-08-07,Matched,None
TXN026,7500,7350.0,150.0,2026-08-18,2026-08-20,Matched,None
TXN027,3000,2940.0,60.0,2026-08-29,2026-09-01,Matched,None
TXN028,1500,1470.0,30.0,2026-08-05,2026-08-08,Matched,None
TXN029,500,490.0,10.0,2026-08-28,2026-08-29,Matched,None
TXN030,1000,980.0,20.0,2026-08-26,2026-08-29,Matched,None
TXN031,750,735.0,15.0,2026-08-13,2026-08-15,Matched,None
TXN032,5000,4850.0,100.0,2026-08-17,2026-08-19,Exception,Amount Mismatch
TXN033,7500,7350.0,150.0,2026-08-25,2026-08-27,Matched,None
TXN034,2500,2450.0,50.0,2026-08-04,2026-08-06,Matched,None
TXN035,5000,4900.0,100.0,2026-08-01,2026-08-04,Exception,Duplicate Transaction
TXN036,7500,7350.0,150.0,2026-08-25,2026-08-26,Matched,None
TXN037,750,735.0,15.0,2026-08-28,2026-08-31,Matched,None
TXN038,7500,7350.0,150.0,2026-08-20,2026-08-21,Matched,None
TXN039,1000,980.0,20.0,2026-08-18,2026-08-28,Exception,Date Mismatch
TXN040,2500,2450.0,50.0,2026-08-16,2026-08-17,Matched,None
TXN041,2500,2450.0,50.0,2026-08-29,2026-08-31,Matched,None
TXN042,1500,1270.0,30.0,2026-08-29,2026-09-01,Exception,Amount Mismatch
TXN043,750,735.0,15.0,2026-08-25,2026-08-28,Matched,None
TXN044,1000,0,20.0,2026-08-22,2026-08-24,Exception,Missing Settlement
TXN045,2000,1960.0,40.0,2026-08-17,2026-08-20,Matched,None
TXN046,1500,1470.0,30.0,2026-08-30,2026-09-02,Matched,None
TXN047,1500,1470.0,30.0,2026-08-23,2026-08-25,Matched,None
TXN048,2500,2450.0,50.0,2026-08-15,2026-08-18,Matched,None
TXN049,1500,1470.0,30.0,2026-08-08,2026-08-09,Matched,None
TXN050,10000,9800.0,200.0,2026-08-18,2026-08-19,Matched,None
TXN051,500,490.0,10.0,2026-08-03,2026-08-06,Matched,None
TXN052,1500,1170.0,30.0,2026-08-03,2026-08-04,Exception,Amount Mismatch
TXN053,1500,1470.0,30.0,2026-08-09,2026-08-12,Matched,None
TXN054,7500,7350.0,150.0,2026-08-05,2026-08-15,Exception,Date Mismatch
TXN055,10000,9800.0,200.0,2026-08-16,2026-08-17,Matched,None
TXN056,3000,2940.0,60.0,2026-08-07,2026-08-08,Matched,None
TXN057,3000,2940.0,60.0,2026-08-12,2026-08-14,Matched,None
TXN058,500,440.0,10.0,2026-08-22,2026-08-25,Exception,Amount Mismatch
TXN059,3000,2840.0,60.0,2026-08-24,2026-08-26,Exception,Amount Mismatch
TXN060,1500,1470.0,30.0,2026-08-07,2026-08-10,Matched,None
TXN061,3000,2940.0,60.0,2026-08-06,2026-08-08,Matched,None
TXN062,750,735.0,15.0,2026-08-15,2026-08-18,Matched,None
TXN063,7500,0,150.0,2026-08-27,2026-08-28,Exception,Missing Settlement
TXN064,1000,980.0,20.0,2026-08-14,2026-08-16,Matched,None
TXN065,3000,2940.0,60.0,2026-08-29,2026-08-30,Matched,None
TXN066,500,400,10.0,2026-08-13,2026-08-15,Exception,Fee Mismatch
TXN067,3000,2940.0,60.0,2026-08-23,2026-09-02,Exception,Date Mismatch
TXN068,5000,4900.0,100.0,2026-08-05,2026-08-06,Matched,None
TXN069,500,490.0,10.0,2026-08-19,2026-08-22,Matched,None
TXN070,2500,2450.0,50.0,2026-08-02,2026-08-03,Matched,None
TXN071,7500,7350.0,150.0,2026-08-30,2026-09-02,Matched,None
TXN072,7500,7350.0,150.0,2026-08-03,2026-08-04,Matched,None
TXN073,750,735.0,15.0,2026-08-22,2026-08-23,Matched,None
TXN074,10000,9800.0,200.0,2026-08-08,2026-08-11,Matched,None
TXN075,10000,9800.0,200.0,2026-08-03,2026-08-05,Matched,None
TXN076,10000,0,200.0,2026-08-17,2026-08-19,Exception,Missing Settlement
TXN077,2500,2450.0,50.0,2026-08-08,2026-08-10,Matched,None
TXN078,2000,1910.0,40.0,2026-08-15,2026-08-17,Exception,Amount Mismatch
TXN079,5000,4600.0,100.0,2026-08-20,2026-08-23,Exception,Amount Mismatch
TXN080,1500,1470.0,30.0,2026-08-17,2026-08-19,Matched,None
TXN081,2500,2450.0,50.0,2026-08-29,2026-08-30,Exception,Duplicate Transaction
TXN082,2000,1960.0,40.0,2026-08-06,2026-08-08,Exception,Duplicate Transaction
TXN083,10000,9800.0,200.0,2026-08-26,2026-08-29,Matched,None
TXN084,7500,7350.0,150.0,2026-08-10,2026-08-13,Matched,None
TXN085,1000,980.0,20.0,2026-08-09,2026-08-19,Exception,Date Mismatch
TXN086,1000,980.0,20.0,2026-08-09,2026-08-11,Matched,None
TXN087,2500,2450.0,50.0,2026-08-07,2026-08-10,Matched,None
TXN088,2000,1960.0,40.0,2026-08-17,2026-08-19,Matched,None
TXN089,500,490.0,10.0,2026-08-03,2026-08-06,Matched,None
TXN090,2000,1960.0,40.0,2026-08-02,2026-08-03,Matched,None
TXN091,1000,980.0,20.0,2026-08-21,2026-08-23,Matched,None
TXN092,5000,4900.0,100.0,2026-08-18,2026-08-21,Matched,None
TXN093,500,0,10.0,2026-08-04,2026-08-05,Exception,Missing Settlement
TXN094,7500,7350.0,150.0,2026-08-02,2026-08-04,Matched,None
TXN095,1000,980.0,20.0,2026-08-14,2026-08-15,Matched,None
TXN096,2500,0,50.0,2026-08-29,2026-08-30,Exception,Missing Settlement
TXN097,1500,1470.0,30.0,2026-08-22,2026-08-23,Matched,None
TXN098,7500,0,150.0,2026-08-29,2026-08-31,Exception,Missing Settlement
TXN099,1500,0,30.0,2026-08-28,2026-08-29,Exception,Missing Settlement
TXN100,3000,2940.0,60.0,2026-08-01,2026-08-02,Matched,None
